,,idolâtrie,méprisent,seigneur,Jésus,invoquer,murmure,saint,avoir,Christ,pouvoir,chandelle,prière,prière
,,superstition,moquer,Jésus,Christ,invoquer,hurlement,saint,être,seigneur,faire,torche,solennel,oraison
idolâtrie,superstition,0.7182589173316956,0.8299327492713928,0.7477602362632751,0.8573256134986877,0.7185981869697571,0.7040720582008362,0.7021665573120117,0.7048386931419373,0.7409677505493164,0.712584912776947,0.7154055833816528,0.7080045342445374,0.7677046656608582
méprisent,moquer,0.7182589173316956,0.8299327492713928,0.7477602362632751,0.8573256134986877,0.7185981869697571,0.7040720582008362,0.7021665573120117,0.7048386931419373,0.7409677505493164,0.712584912776947,0.7154055833816528,0.7080045342445374,0.7677046656608582
seigneur,Jésus,0.7182589173316956,0.8299327492713928,0.7477602362632751,0.8573256134986877,0.7185981869697571,0.7040720582008362,0.7021665573120117,0.7048386931419373,0.7409677505493164,0.712584912776947,0.7154055833816528,0.7080045342445374,0.7677046656608582
Jésus,Christ,0.7182589173316956,0.8299327492713928,0.7477602362632751,0.8573256134986877,0.7185981869697571,0.7040720582008362,0.7021665573120117,0.7048386931419373,0.7409677505493164,0.712584912776947,0.7154055833816528,0.7080045342445374,0.7677046656608582
invoquer,invoquer,0.7182589173316956,0.8299327492713928,0.7477602362632751,0.8573256134986877,0.7185981869697571,0.7040720582008362,0.7021665573120117,0.7048386931419373,0.7409677505493164,0.712584912776947,0.7154055833816528,0.7080045342445374,0.7677046656608582
murmure,hurlement,0.7182589173316956,0.8299327492713928,0.7477602362632751,0.8573256134986877,0.7185981869697571,0.7040720582008362,0.7021665573120117,0.7048386931419373,0.7409677505493164,0.712584912776947,0.7154055833816528,0.7080045342445374,0.7677046656608582
saint,saint,0.7182589173316956,0.8299327492713928,0.7477602362632751,0.8573256134986877,0.7185981869697571,0.7040720582008362,0.7021665573120117,0.7048386931419373,0.7409677505493164,0.712584912776947,0.7154055833816528,0.7080045342445374,0.7677046656608582
avoir,être,0.7182589173316956,0.8299327492713928,0.7477602362632751,0.8573256134986877,0.7185981869697571,0.7040720582008362,0.7021665573120117,0.7048386931419373,0.7409677505493164,0.712584912776947,0.7154055833816528,0.7080045342445374,0.7677046656608582
Christ,seigneur,0.7182589173316956,0.8299327492713928,0.7477602362632751,0.8573256134986877,0.7185981869697571,0.7040720582008362,0.7021665573120117,0.7048386931419373,0.7409677505493164,0.712584912776947,0.7154055833816528,0.7080045342445374,0.7677046656608582
pouvoir,faire,0.7182589173316956,0.8299327492713928,0.7477602362632751,0.8573256134986877,0.7185981869697571,0.7040720582008362,0.7021665573120117,0.7048386931419373,0.7409677505493164,0.712584912776947,0.7154055833816528,0.7080045342445374,0.7677046656608582
chandelle,torche,0.7182589173316956,0.8299327492713928,0.7477602362632751,0.8573256134986877,0.7185981869697571,0.7040720582008362,0.7021665573120117,0.7048386931419373,0.7409677505493164,0.712584912776947,0.7154055833816528,0.7080045342445374,0.7677046656608582
prière,solennel,0.7182589173316956,0.8299327492713928,0.7477602362632751,0.8573256134986877,0.7185981869697571,0.7040720582008362,0.7021665573120117,0.7048386931419373,0.7409677505493164,0.712584912776947,0.7154055833816528,0.7080045342445374,0.7677046656608582
prière,oraison,0.7182589173316956,0.8299327492713928,0.7477602362632751,0.8573256134986877,0.7185981869697571,0.7040720582008362,0.7021665573120117,0.7048386931419373,0.7409677505493164,0.712584912776947,0.7154055833816528,0.7080045342445374,0.7677046656608582
